mauricio@mauricio:~$ lsmod
Module                  Size  Used by
ccm                    20480  6
rfcomm                 98304  4
cmac                   12288  2
algif_hash             12288  1
algif_skcipher         12288  1
af_alg                 32768  6 algif_hash,algif_skcipher
bnep                   32768  2
snd_hda_codec_hdmi     94208  1
snd_sof_pci_intel_skl    12288  0
snd_sof_intel_hda_common   200704  1 snd_sof_pci_intel_skl
soundwire_intel        65536  1 snd_sof_intel_hda_common
snd_sof_intel_hda_mlink    45056  2 soundwire_intel,snd_sof_intel_hda_common
soundwire_cadence      40960  1 soundwire_intel
snd_sof_intel_hda      24576  1 snd_sof_intel_hda_common
snd_sof_pci            24576  2 snd_sof_intel_hda_common,snd_sof_pci_intel_skl
snd_sof_xtensa_dsp     12288  1 snd_sof_intel_hda_common
snd_sof               360448  3 snd_sof_pci,snd_sof_intel_hda_common,snd_sof_intel_hda
snd_sof_utils          16384  1 snd_sof
soundwire_generic_allocation    12288  1 soundwire_intel
soundwire_bus         110592  3 soundwire_intel,soundwire_generic_allocation,soundwire_cadence
snd_ctl_led            24576  0
snd_soc_avs           184320  0
snd_soc_hda_codec      24576  1 snd_soc_avs
snd_soc_skl           212992  0
snd_soc_hdac_hda       24576  2 snd_sof_intel_hda_common,snd_soc_skl
intel_rapl_msr         20480  0
snd_hda_ext_core       36864  7 snd_soc_avs,snd_soc_hda_codec,snd_sof_intel_hda_common,snd_soc_hdac_hda,snd_sof_intel_hda_mlink,snd_soc_skl,snd_sof_intel_hda
snd_hda_codec_realtek   192512  1
snd_soc_sst_ipc        20480  1 snd_soc_skl
snd_hda_codec_generic   122880  1 snd_hda_codec_realtek
intel_rapl_common      40960  1 intel_rapl_msr
snd_soc_sst_dsp        40960  1 snd_soc_skl
intel_tcc_cooling      12288  0
snd_soc_acpi_intel_match    94208  3 snd_sof_intel_hda_common,snd_soc_skl,snd_sof_pci_intel_skl
x86_pkg_temp_thermal    20480  0
intel_powerclamp       24576  0
snd_soc_acpi           12288  3 snd_soc_acpi_intel_match,snd_sof_intel_hda_common,snd_soc_skl
coretemp               24576  0
snd_soc_core          446464  7 snd_soc_avs,snd_soc_hda_codec,soundwire_intel,snd_sof,snd_sof_intel_hda_common,snd_soc_hdac_hda,snd_soc_skl
kvm_intel             487424  0
amdgpu              15589376  0
snd_compress           28672  2 snd_soc_avs,snd_soc_core
ac97_bus               12288  1 snd_soc_core
snd_pcm_dmaengine      16384  1 snd_soc_core
kvm                  1409024  1 kvm_intel
snd_hda_intel          61440  3
binfmt_misc            24576  1
irqbypass              12288  1 kvm
snd_intel_dspcfg       32768  5 snd_soc_avs,snd_hda_intel,snd_sof,snd_sof_intel_hda_common,snd_soc_skl
crct10dif_pclmul       12288  1
snd_intel_sdw_acpi     16384  2 snd_sof_intel_hda_common,snd_intel_dspcfg
polyval_clmulni        12288  0
snd_hda_codec         212992  9 snd_hda_codec_generic,snd_soc_avs,snd_hda_codec_hdmi,snd_soc_hda_codec,snd_hda_intel,snd_hda_codec_realtek,snd_soc_hdac_hda,snd_soc_skl,snd_sof_intel_hda
polyval_generic        12288  1 polyval_clmulni
ghash_clmulni_intel    16384  0
snd_hda_core          147456  12 snd_hda_codec_generic,snd_soc_avs,snd_hda_codec_hdmi,snd_soc_hda_codec,snd_hda_intel,snd_hda_ext_core,snd_hda_codec,snd_hda_codec_realtek,snd_sof_intel_hda_common,snd_soc_hdac_hda,snd_soc_skl,snd_sof_intel_hda
sha256_ssse3           32768  0
sha1_ssse3             32768  0
snd_hwdep              20480  1 snd_hda_codec
aesni_intel           356352  7
crypto_simd            16384  1 aesni_intel
uvcvideo              135168  0
snd_pcm               196608  13 snd_soc_avs,snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec,soundwire_intel,snd_sof,snd_sof_intel_hda_common,snd_compress,snd_soc_core,snd_sof_utils,snd_soc_skl,snd_hda_core,snd_pcm_dmaengine
amdxcp                 12288  1 amdgpu
dell_laptop            32768  0
iwlmvm                843776  0
cryptd                 24576  3 crypto_simd,ghash_clmulni_intel
iommu_v2               24576  1 amdgpu
videobuf2_vmalloc      20480  1 uvcvideo
snd_seq_midi           24576  0
uvc                    12288  1 uvcvideo
nls_iso8859_1          12288  1
gpu_sched              61440  1 amdgpu
rapl                   20480  0
mei_hdcp               28672  0
mei_pxp                16384  0
dell_smm_hwmon         24576  0
snd_seq_midi_event     16384  1 snd_seq_midi
mac80211             1720320  1 iwlmvm
videobuf2_memops       16384  1 videobuf2_vmalloc
snd_rawmidi            57344  1 snd_seq_midi
i915                 4157440  8
intel_cstate           20480  0
libarc4                12288  1 mac80211
dell_wmi               28672  1 dell_laptop
videobuf2_v4l2         40960  1 uvcvideo
dell_smbios            32768  2 dell_wmi,dell_laptop
radeon               2170880  1
btusb                  73728  0
btrtl                  32768  1 btusb
ledtrig_audio          12288  4 snd_ctl_led,snd_hda_codec_generic,dell_wmi,dell_laptop
joydev                 32768  0
btbcm                  24576  1 btusb
dcdbas                 20480  1 dell_smbios
snd_seq               118784  2 snd_seq_midi,snd_seq_midi_event
videodev              364544  2 videobuf2_v4l2,uvcvideo
input_leds             12288  0
btintel                53248  1 btusb
btmtk                  12288  1 btusb
